"","PARTICIPANTID","variable","value","Type","Instrument","Mode1","Background","Gender","Mode"
"144","UK559939_1","PCH MJ-AUG","Major","Arpeg","Setar","MJ-AUG","UK","Male","MJ-AUG"
"145","UK787801_2","PCH MJ-AUG","Major","Chord","Piano","MJ-AUG","UK","Female","MJ-AUG"
"146","UK249638_2","PCH MJ-AUG","Major","Chord","Piano","MJ-AUG","UK","Female","MJ-AUG"
"147","UK349080_1","PCH MJ-AUG","Major","Chord","Piano","MJ-AUG","UK","Male","MJ-AUG"
"148","UK774380_2","PCH MJ-AUG","Augm.","Chord","Piano","MJ-AUG","UK","Female","MJ-AUG"
"149","UK819618_1","PCH MJ-AUG","Major","Chord","Piano","MJ-AUG","UK","Male","MJ-AUG"
"150","UK40395_2","PCH MJ-AUG","Major","Chord","Piano","MJ-AUG","UK","Female","MJ-AUG"
"151","UK192527_2","PCH MJ-AUG","Major","Arpeg","Piano","MJ-AUG","UK","Female","MJ-AUG"
"152","UK668521_2","PCH MJ-AUG","Major","Arpeg","Piano","MJ-AUG","UK","Female","MJ-AUG"
"153","UK581636_2","PCH MJ-AUG","Major","Arpeg","Piano","MJ-AUG","UK","Female","MJ-AUG"
"154","UK812201_2","PCH MJ-AUG","Augm.","Arpeg","Piano","MJ-AUG","UK","Female","MJ-AUG"
"155","UK553917_1","PCH MJ-AUG","Major","Arpeg","Piano","MJ-AUG","UK","Male","MJ-AUG"
"156","UK328873_1","PCH MJ-AUG","Major","Arpeg","Piano","MJ-AUG","UK","Male","MJ-AUG"
"157","UK869688_1","PCH MJ-AUG","Major","Chord","Setar","MJ-AUG","UK","Male","MJ-AUG"
"158","UK31600_2","PCH MJ-AUG","Major","Chord","Setar","MJ-AUG","UK","Female","MJ-AUG"
"159","MKATLM2407191050","PCH MJ-CRM","Chrom.","Chord","Setar","MJ-CRM","Kalash","Male","MJ-CRM"
"160","MKAJRD2507191630","PCH MJ-CRM","Chrom.","Chord","Setar","MJ-CRM","Kalash","Male","MJ-CRM"
"161","MKAAR0108191730","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","Kalash","Male","MJ-CRM"
"162","MKASRD0208191600","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","Kalash","Male","MJ-CRM"
"163","MKAMRJ0308191400","PCH MJ-CRM","Major","Arpeg","Setar","MJ-CRM","Kalash","Male","MJ-CRM"
"164","FKASHR0408191530","PCH MJ-CRM","Chrom.","Arpeg","Setar","MJ-CRM","Kalash","Female","MJ-CRM"
"165","MKAFD2707191400","PCH MJ-CRM","Chrom.","Arpeg","Setar","MJ-CRM","Kalash","Male","MJ-CRM"
"166","MKHMHM1308191130","PCH MJ-CRM","Chrom.","Arpeg","Setar","MJ-CRM","Khow","Male","MJ-CRM"
"167","MKHABD1508191700","PCH MJ-CRM","Major","Arpeg","Setar","MJ-CRM","Khow","Male","MJ-CRM"
"168","MKHMHD1808191600","PCH MJ-CRM","Major","Arpeg","Setar","MJ-CRM","Khow","Male","MJ-CRM"
"169","MKHSHD0608191600","PCH MJ-CRM","Major","Chord","Piano","MJ-CRM","Khow","Male","MJ-CRM"
"170","MKAHRV0308190930","PCH MJ-CRM","Chrom.","Chord","Piano","MJ-CRM","Kalash","Male","MJ-CRM"
"171","MKASH2407191700","PCH MJ-CRM","Major","Chord","Piano","MJ-CRM","Kalash","Male","MJ-CRM"
"172","MKAHJZ3107191030","PCH MJ-CRM","Major","Chord","Piano","MJ-CRM","Kalash","Male","MJ-CRM"
"173","MKHTNV2008191100","PCH MJ-CRM","Major","Chord","Piano","MJ-CRM","Khow","Male","MJ-CRM"
"174","MKHSFL1008191600","PCH MJ-CRM","Chrom.","Chord","Piano","MJ-CRM","Khow","Male","MJ-CRM"
"175","MKAIKB0208190900","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","Kalash","Male","MJ-CRM"
"176","MKHAHT0908191130","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","Khow","Male","MJ-CRM"
"177","MKHKMT1708191330","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","Khow","Male","MJ-CRM"
"178","MKHMSF1808191730","PCH MJ-CRM","Chrom.","Arpeg","Piano","MJ-CRM","Khow","Male","MJ-CRM"
"179","MKATRQ0108191500","PCH MJ-CRM","Chrom.","Arpeg","Piano","MJ-CRM","Kalash","Male","MJ-CRM"
"180","MKARD2607191000","PCH MJ-CRM","Chrom.","Arpeg","Piano","MJ-CRM","Kalash","Male","MJ-CRM"
"181","MKAZRMT3107191600","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","Kalash","Male","MJ-CRM"
"182","MKHIHS0908191430","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","Khow","Male","MJ-CRM"
"183","FKAGL0308191700","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","Kalash","Female","MJ-CRM"
"184","MKAZUD0208191230","PCH MJ-CRM","Chrom.","Chord","Setar","MJ-CRM","Kalash","Male","MJ-CRM"
